"Title","Box Office","Rating"
"127 Hours","14300000","8.2"
"The A-Team","77200000","7"
"Alice in Wonderland","334000000","6.6"
"All Good Things","504000","6.4"
"Alpha and Omega","25100000","4.6"
"The American","35600000","6.6"
"The Back-Up Plan","37500000","4.6"
"Black Swan","95900000","8.6"
"Blue Valentine","6060000","8"
"The Book of Eli","94800000","6.8"
"The Bounty Hunter","67100000","5.1"
"Buried","1030000","7.3"
"Burlesque","39300000","6.1"
"Catfish","3230000","7.2"
"Cats & Dogs","43600000","3.5"
"Charlie St. Cloud","31100000","5.5"
"The Chronicles of Narnia","102000000","6.6"
"Clash of the Titans","163000000","5.9"
"The Company Men","1550000","6.9"
"Conviction","6780000","7.2"
"Cop Out","44900000","5.7"
"Countdown to Zero","271000","6.7"
"Country Strong","18800000","5.4"
"The Crazies","39100000","6.7"
"Cyrus","7460000","6.6"
"Date Night","98700000","6.4"
"Dear John","80000000","5.9"
"Death at a Funeral","42700000","5.3"
"Despicable Me","252000000","7.5"
"Devil","33600000","6.5"
"Diary of a Wimpy Kid","64000000","6"
"The Dilemma","45700000","4.9"
"Dinner for Schmucks","73000000","6"
"Due Date","100000000","6.8"
"Easy A","58400000","7.2"
"Eat Pray Love","80600000","5.2"
"Eclipse","301000000","4.8"
"Edge of Darkness","43300000","6.7"
"Exit Through the Gift Shop","3290000","8.2"
"The Expendables","103000000","6.7"
"The Extra Man","453000","6"
"Extraordinary Measures","11900000","6.4"
"Fair Game","9410000","7"
"Faster","23200000","6.8"
"The Fighter","82500000","8.2"
"Flipped","1750000","7.4"
"For Colored Girls","37700000","4.3"
"From Prada to Nada","1120000","3.5"
"Furry Vengeance","17600000","3"
"Get Him to the Greek","60900000","6.7"
"Going the Distance","17800000","6.4"
"The Green Hornet","87200000","6.5"
"Green Zone","35000000","7"
"Greenberg","4220000","6.4"
"Grown Ups","162000000","5.8"
"Gulliver's Travels","41000000","4.7"
"Harry Potter and the Deathly Hallows: Part 1","292000000","7.9"
"Hereafter","32700000","7.2"
"Holy Rollers","303000","5.7"
