Date        | Weight |  Run  | Comment
01/02/2011  | 199.2  |       | 
01/04/2011  | 198.6  |  3.0  | 
01/05/2011  | 198.2  |       | 
01/06/2011  | 197.8  |  3.0  | 
01/07/2011  | 198.4  |       |
01/08/2011  | 198.2  |  3.0  |
01/09/2011  | 198.2  |  4.0  |
01/19/2011  | 197.6  |  2.0  |
01/22/2011  | 197.4  |  3.0  |
01/27/2011  | 197.4  |  3.0  |
01/30/2011  | 197.2  |  4.42 |
02/05/2011  | 198.0  |       |
02/07/2011  | 196.6  |       |
02/14/2011  | 197.4  |       |
02/15/2011  | 197.2  |  3.0  |
02/16/2011  | 197.0  |       |
02/18/2011  | 198.2  |       |
02/20/2011  | 199.8  |  3.0  | 
02/21/2011  | 199.6  |       | 
02/22/2011  | 198.4  |  4.6  | 
02/23/2011  | 196.6  |       |
02/24/2011  | 196.0  |       |
02/27/2011  | 196.0  |  5.5  |
02/28/2011  | 196.2  |       |
03/01/2011  | 195.8  |       |
03/04/2011  | 194.4  |       |
03/06/2011  | 192.4  |       |
03/08/2011  | 192.2  |       |
03/11/2011  | 191.6  |       |
03/17/2011  | 191.4  |       |

